time,x,y,z,vx,vy,vz,w,qx,qy,qz,ox,oy,oz,extension
0.2500,42.7713,21.5455,-0.5991,0.41225,0.03076,0.00732,0.999991,0.000232,0.000989,0.004192,0.00340,0.00989,0.02517,1.000
0.5000,42.8749,21.5464,-0.5963,0.39968,0.00600,0.01306,0.999988,0.000734,0.001706,0.004608,0.00404,0.00156,-0.01462,1.000
0.7500,42.9693,21.5501,-0.5934,0.35586,0.01856,0.00952,0.999996,0.001128,0.001718,0.001914,0.00223,-0.00036,-0.02406,1.000
1.0000,43.0529,21.5542,-0.5916,0.31321,0.01381,0.00555,0.999997,0.001294,0.001714,-0.000916,0.00062,0.00026,-0.02108,1.000
1.2500,43.1258,21.5574,-0.5905,0.27004,0.01185,0.00343,0.999992,0.001302,0.001783,-0.003421,-0.00029,0.00075,-0.01851,1.000
1.5000,43.1880,21.5595,-0.5897,0.22706,0.00424,0.00288,0.999985,0.001243,0.001906,-0.005011,-0.00055,0.00115,-0.00728,1.000
1.7500,43.2392,21.5600,-0.5890,0.18297,0.00164,0.00297,0.999981,0.001173,0.002066,-0.005628,-0.00055,0.00138,-0.00384,1.000
2.0000,43.2813,21.5605,-0.5882,0.17520,0.00258,0.00318,0.999978,0.001109,0.002245,-0.006131,-0.00051,0.00141,-0.00625,1.000
2.2500,43.8189,21.5505,-0.5947,4.31235,-0.06716,-0.04297,0.999994,0.000420,0.002265,0.002545,-0.00771,0.00025,0.07603,1.000
2.5000,45.4604,21.5431,-0.6074,8.85530,0.00811,-0.05851,0.999977,-0.000376,0.002366,0.006399,-0.00499,0.00092,-0.00523,1.000
2.7500,48.3479,21.5472,-0.6256,14.77517,0.01341,-0.09368,0.999985,-0.001005,0.002406,0.004877,-0.00633,-0.00002,-0.00961,1.000
3.0000,53.1862,21.5488,-0.6577,24.55417,0.00267,-0.17763,0.999984,-0.002205,0.002595,0.004562,-0.01401,0.00826,0.00248,1.000
